Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR18396500_1 - polya	(1, 0.00420442422421061)	(2, 0.008226047395194672)	(3, 0.009651895610361748)	(4, 0.01434988267828404)	(5, 0.023416814918320834)	(6, 0.02601258987413782)	(7, 0.03685269233047213)	(8, 0.040545273605648406)	(9, 0.04535294130550663)	(10, 0.04756483404954786)	(11, 0.04846055921035795)	(12, 0.049502525213749274)	(13, 0.050873533112948385)	(14, 0.052153140485534225)	(15, 0.053286507015538824)	(16, 0.05458439449344731)	(17, 0.055955402392646424)	(18, 0.0577468527142666)	(19, 0.05999530566895314)	(20, 0.06293840262590057)	(21, 0.06432769063042233)	(22, 0.06542449694978163)	(23, 0.06727078758736976)	(24, 0.07608179835288939)	(25, 0.07783668846386425)	(26, 0.08264435616372247)	(27, 0.08514873059292619)	(28, 0.08695846101986901)	(29, 0.08840258934035874)	(30, 0.08959079618633131)	(31, 0.09057792187375467)	(32, 0.09194892977295378)	(33, 0.09282637482844121)	(34, 0.094690945571352)	(35, 0.09545870999490351)	(36, 0.09750608179104085)	(37, 0.1009244614863773)	(38, 0.11335493310578258)	(39, 0.1318361195869866)	(40, 0.13313400706489512)	(41, 0.13744811192104164)	(42, 0.1393675229799204)	(43, 0.1417987769878335)	(44, 0.14417519067977863)	(45, 0.14547307815768712)	(46, 0.14655160437172374)	(47, 0.14739248921656586)	(48, 0.14984202332980162)	(49, 0.1512678715449687)	(50, 0.15241951818029595)	(51, 0.15307760197191153)	(52, 0.1543389292391747)	(53, 0.15545401566385664)	(54, 0.15686158377370107)	(55, 0.1586347539899986)	(56, 0.15956703936145397)	(57, 0.16033480378500548)	(58, 0.1617058116842046)	(59, 0.16325962063663027)	(60, 0.16483170969437858)	(61, 0.16629411812019096)	(62, 0.1677382464406807)	(63, 0.16881677265471734)	(64, 0.1696393773942368)	(65, 0.17154050834779289)
SRR18396500_1 - polyg	(1, 0.5027577366889757)	(2, 0.5050427498543075)	(3, 0.5051158702755982)	(4, 0.5051158702755982)	(5, 0.5054083519607606)	(6, 0.505920194909795)	(7, 0.5059567551204402)	(8, 0.5059567551204402)	(9, 0.5059567551204402)	(10, 0.5059567551204402)	(11, 0.5059567551204402)	(12, 0.5059567551204402)	(13, 0.5059567551204402)	(14, 0.5059933153310856)	(15, 0.5060115954364083)	(16, 0.5060115954364083)	(17, 0.5060115954364083)	(18, 0.5060115954364083)	(19, 0.5060115954364083)	(20, 0.506029875541731)	(21, 0.5060481556470535)	(22, 0.5060481556470535)	(23, 0.5060481556470535)	(24, 0.5060481556470535)	(25, 0.5060481556470535)	(26, 0.5060481556470535)	(27, 0.5060481556470535)	(28, 0.5060481556470535)	(29, 0.5060664357523762)	(30, 0.5060664357523762)	(31, 0.5061029959630216)	(32, 0.5061029959630216)	(33, 0.5061029959630216)	(34, 0.5061395561736669)	(35, 0.5061943964896348)	(36, 0.5062126765949575)	(37, 0.5063040771215708)	(38, 0.5063040771215708)	(39, 0.506340637332216)	(40, 0.5063589174375387)	(41, 0.5063589174375387)	(42, 0.5063589174375387)	(43, 0.5063589174375387)	(44, 0.5063771975428614)	(45, 0.5064137577535067)	(46, 0.5064137577535067)	(47, 0.5064137577535067)	(48, 0.5064137577535067)	(49, 0.5064320378588293)	(50, 0.506450317964152)	(51, 0.5064685980694746)	(52, 0.5064685980694746)	(53, 0.5064685980694746)	(54, 0.5064685980694746)	(55, 0.5064685980694746)	(56, 0.5064868781747973)	(57, 0.5065234383854426)	(58, 0.5065599985960879)	(59, 0.5065782787014106)	(60, 0.5065965588067333)	(61, 0.5066331190173785)	(62, 0.5066513991227012)	(63, 0.5067245195439918)	(64, 0.5067976399652824)	(65, 0.5068342001759277)
SRR18396500_2 - illumina_universal_adapter	(1, 0.012101429723597495)	(2, 0.01215627003956546)	(3, 0.012229390460856079)	(4, 0.012247670566178735)	(5, 0.012302510882146699)	(6, 0.012448751724727937)	(7, 0.012759513515213068)	(8, 0.01314339572698882)	(9, 0.013271356464247404)	(10, 0.013508997833441918)	(11, 0.01367351878134581)	(12, 0.013838039729249704)	(13, 0.014057400993121562)	(14, 0.01434988267828404)	(15, 0.01488000573264103)	(16, 0.015556369629579257)	(17, 0.015666050261515185)	(18, 0.0159036916307097)	(19, 0.016488655001034653)	(20, 0.025043744292037113)	(21, 0.02529966576655428)	(22, 0.02564698776768472)	(23, 0.025994309768815164)	(24, 0.02635991187526826)	(25, 0.026890034929625252)	(26, 0.027273917141401)	(27, 0.027858880511725956)	(28, 0.028498684198018875)	(29, 0.029248168516247723)	(30, 0.03014389367705781)	(31, 0.031039618837867895)	(32, 0.032099864946581874)	(33, 0.03387303516287939)	(34, 0.0354085640099824)	(35, 0.036615050961277616)	(36, 0.03829682065096186)	(37, 0.039960310235323454)	(38, 0.04208080245275141)	(39, 0.044585176881955124)	(40, 0.04705299110051352)	(41, 0.05056277132246325)	(42, 0.05409083164973563)	(43, 0.05736297050249085)	(44, 0.06103727167234447)	(45, 0.06524169589655508)	(46, 0.06919019864624852)	(47, 0.07460110982175434)	(48, 0.08092602626339292)	(49, 0.08807354744455095)	(50, 0.09670175715684404)	(51, 0.1052568464478465)	(52, 0.11545714521788789)	(53, 0.12711985241374166)	(54, 0.13872771929362748)	(55, 0.15082914901722497)	(56, 0.1666414401213214)	(57, 0.18292901396380684)	(58, 0.2019220433940452)	(59, 0.22407753104510286)	(60, 0.2498890397606915)	(61, 0.2779672815362893)	(62, 0.30931766216464235)	(63, 0.34330037795945767)	(64, 0.3795132666036369)	(65, 0.420497262737029)
SRR18396500_2 - polya	(1, 0.0015355288471030056)	(2, 0.009286293503908652)	(3, 0.01204658940762953)	(4, 0.01915755037814226)	(5, 0.025354506082522245)	(6, 0.029376129253506307)	(7, 0.037693577175314255)	(8, 0.04440237582872857)	(9, 0.052555302802632625)	(10, 0.0609824313563765)	(11, 0.06694174569156197)	(12, 0.07392474592481613)	(13, 0.08074322521016637)	(14, 0.08873163123616654)	(15, 0.09721360010587837)	(16, 0.10564072865962225)	(17, 0.11545714521788789)	(18, 0.12505420051228167)	(19, 0.13735671139442837)	(20, 0.14761185048043773)	(21, 0.15772074872386585)	(22, 0.16912753444520245)	(23, 0.18172252701251163)	(24, 0.19556056674176134)	(25, 0.21468155690925828)	(26, 0.23374770676078727)	(27, 0.24568461553648088)	(28, 0.26063774169041254)	(29, 0.27069179961787265)	(30, 0.28215342565517726)	(31, 0.29535166169813404)	(32, 0.31248012038546163)	(33, 0.33099786707731094)	(34, 0.34406814238300915)	(35, 0.3604836769627532)	(36, 0.3763325282774949)	(37, 0.39053617011319774)	(38, 0.40492261300212706)	(39, 0.4206069433689649)	(40, 0.4316115667732031)	(41, 0.4447732426055146)	(42, 0.4603113321297712)	(43, 0.48012696629952906)	(44, 0.49676186214314494)	(45, 0.5136709595666007)	(46, 0.5323349471010312)	(47, 0.5533753483274069)	(48, 0.5781266109342815)	(49, 0.6074113396611746)	(50, 0.6300055498399759)	(51, 0.653568605600878)	(52, 0.693181593835071)	(53, 0.7356462784995982)	(54, 0.7836863952875351)	(55, 0.8676286389291661)	(56, 0.9029458024125352)	(57, 0.9389941701088105)	(58, 1.0369938147435631)	(59, 1.1032774766435094)	(60, 1.1341525745334735)	(61, 1.1579715517688927)	(62, 1.1779517068865544)	(63, 1.1976576604243763)	(64, 1.2169797317504225)	(65, 1.2331210647503266)
SRR18396500_2 - polyg	(1, 2.5190899139884486)	(2, 2.536858176362069)	(3, 2.5453035850211356)	(4, 2.5558329256869845)	(5, 2.561865360443461)	(6, 2.5672762716189665)	(7, 2.5731076252168936)	(8, 2.582229397772898)	(9, 2.597694366875864)	(10, 2.6086989902801023)	(11, 2.627198456866629)	(12, 2.6384407216400616)	(13, 2.6611263323454764)	(14, 2.667889971314859)	(15, 2.6724599976455226)	(16, 2.677084864292154)	(17, 2.68132584872701)	(18, 2.685000149896864)	(19, 2.6884550898028454)	(20, 2.6924584328685066)	(21, 2.6955477706680355)	(22, 2.6987833493101454)	(23, 2.7014705247925757)	(24, 2.704505022276136)	(25, 2.707959962182118)	(26, 2.7103729360847084)	(27, 2.71293215082988)	(28, 2.715235444100535)	(29, 2.718032300214901)	(30, 2.7202441929589423)	(31, 2.72236468517637)	(32, 2.7242475360246035)	(33, 2.726404588452677)	(34, 2.7282325989849423)	(35, 2.729950928885272)	(36, 2.731998300681409)	(37, 2.734648915953194)	(38, 2.737080169961107)	(39, 2.7400781072340226)	(40, 2.7480847933653454)	(41, 2.751448332744714)	(42, 2.7536053851727873)	(43, 2.755780717706183)	(44, 2.7572431261319954)	(45, 2.7588883356110343)	(46, 2.760131382772975)	(47, 2.7613744299349157)	(48, 2.7626540373075015)	(49, 2.763421801731053)	(50, 2.7643540871025083)	(51, 2.7650670112100917)	(52, 2.7655057337378355)	(53, 2.766492859425259)	(54, 2.7671509432168744)	(55, 2.767973547956394)	(56, 2.768869273117204)	(57, 2.769655317646078)	(58, 2.7702037208057577)	(59, 2.770825244386728)	(60, 2.7714467679676984)	(61, 2.772013451232701)	(62, 2.7729091763935108)	(63, 2.773585540290449)	(64, 2.7742801842927096)	(65, 2.775285590085456)
SRR18396512_1 - illumina_universal_adapter	(1, 0.005270969068505252)	(2, 0.005321489538810415)	(3, 0.005321489538810415)	(4, 0.005372010009115577)	(5, 0.005506731263262676)	(6, 0.0055572517335678384)	(7, 0.005725653301251712)	(8, 0.005809854085093649)	(9, 0.005961415496009135)	(10, 0.006045616279851072)	(11, 0.00606245643661946)	(12, 0.006214017847534946)	(13, 0.0063150587881452705)	(14, 0.0063824194152188206)	(15, 0.006651861923513018)	(16, 0.006904464275038829)	(17, 0.0070055052156491535)	(18, 0.0070897059994910906)	(19, 0.007477029605164)	(20, 0.013135322279342164)	(21, 0.013354244317331199)	(22, 0.013590006512088621)	(23, 0.01385944902038282)	(24, 0.014011010431298307)	(25, 0.014179411998982181)	(26, 0.014465694664044767)	(27, 0.014768817485875739)	(28, 0.015206661561853812)	(29, 0.015711866264905432)	(30, 0.01604866940027318)	(31, 0.016553874103324803)	(32, 0.017412722098512558)	(33, 0.01837261103431064)	(34, 0.019046217305046135)	(35, 0.01997242592730744)	(36, 0.02121859752816811)	(37, 0.02254896991287071)	(38, 0.02424982574647784)	(39, 0.025967521736853353)	(40, 0.0283083035276592)	(41, 0.030649085318465046)	(42, 0.0329898671092709)	(43, 0.03541484968391868)	(44, 0.038328196804849696)	(45, 0.04110682267163362)	(46, 0.04514846029604659)	(47, 0.050251027796867964)	(48, 0.056212443292877105)	(49, 0.06335266976267336)	(50, 0.07114966234643672)	(51, 0.08020966668782913)	(52, 0.08970751510519961)	(53, 0.1012261823347766)	(54, 0.11277852987789035)	(55, 0.12529076635680217)	(56, 0.13884709255535402)	(57, 0.1542053155281233)	(58, 0.17217376279999266)	(59, 0.19438592957749562)	(60, 0.21722118215542893)	(61, 0.24349182671411324)	(62, 0.2736693876430634)	(63, 0.30689501694709176)	(64, 0.34136681785198075)	(65, 0.3789540477590214)
SRR18396512_1 - polya	(1, 0.0032333100995303784)	(2, 0.006028776123082685)	(3, 0.010356696412558243)	(4, 0.01753060319589127)	(5, 0.026573767380515298)	(6, 0.02837566415473275)	(7, 0.03341087102848058)	(8, 0.03501068592147738)	(9, 0.03955752824894197)	(10, 0.041460465963769746)	(11, 0.04216775254804202)	(12, 0.04282451866200913)	(13, 0.04430645245762722)	(14, 0.045249501236656914)	(15, 0.04625991064276016)	(16, 0.047219799578558236)	(17, 0.048651212903871165)	(18, 0.049947904975037)	(19, 0.05257496943090543)	(20, 0.055353595297689344)	(21, 0.056279803919950654)	(22, 0.05745861489373777)	(23, 0.060776125777110085)	(24, 0.07534286138176517)	(25, 0.07669007392323617)	(26, 0.08046226903935494)	(27, 0.08160739969960529)	(28, 0.0833250956899808)	(29, 0.08455442713407307)	(30, 0.08583427904847052)	(31, 0.08672680735719505)	(32, 0.08817506083927637)	(33, 0.08886550726678025)	(34, 0.09112208827374416)	(35, 0.0921324976798474)	(36, 0.09603941405011328)	(37, 0.10159666578368111)	(38, 0.12032292011012789)	(39, 0.14391597974263862)	(40, 0.14517899150026767)	(41, 0.14738505203692642)	(42, 0.1494395511626697)	(43, 0.1539695533333659)	(44, 0.15657977763246594)	(45, 0.15792699017393694)	(46, 0.15878583816912467)	(47, 0.1595604853804705)	(48, 0.16163182466298215)	(49, 0.16301271751798993)	(50, 0.16375368441579896)	(51, 0.16454517178391317)	(52, 0.16582502369831062)	(53, 0.16740799843453902)	(54, 0.16910885426814615)	(55, 0.1710454722965107)	(56, 0.1722411234270662)	(57, 0.17355465565500042)	(58, 0.17510395007769206)	(59, 0.1773268507711192)	(60, 0.1799875955405244)	(61, 0.18143584902260573)	(62, 0.18335562689420187)	(63, 0.18529224492256643)	(64, 0.18771722749721423)	(65, 0.19236511076528914)
SRR18396512_1 - polyg	(1, 0.4961615388669976)	(2, 0.4976266325058473)	(3, 0.4976771529761525)	(4, 0.4976771529761525)	(5, 0.4978118742302996)	(6, 0.5000010946101899)	(7, 0.5000179347669583)	(8, 0.5000179347669583)	(9, 0.5000347749237267)	(10, 0.5000684552372635)	(11, 0.5000684552372635)	(12, 0.5000852953940319)	(13, 0.5001021355508003)	(14, 0.5001021355508003)	(15, 0.5001021355508003)	(16, 0.5001021355508003)	(17, 0.5001021355508003)	(18, 0.5001189757075687)	(19, 0.5001189757075687)	(20, 0.5001863363346422)	(21, 0.5002031764914106)	(22, 0.5002031764914106)	(23, 0.5002031764914106)	(24, 0.500220016648179)	(25, 0.500220016648179)	(26, 0.5002368568049473)	(27, 0.5002368568049473)	(28, 0.5002536969617157)	(29, 0.5002705371184841)	(30, 0.5002705371184841)	(31, 0.5003042174320209)	(32, 0.5003042174320209)	(33, 0.5003378977455577)	(34, 0.5003378977455577)	(35, 0.5004052583726313)	(36, 0.5004220985293997)	(37, 0.5004220985293997)	(38, 0.5004220985293997)	(39, 0.5004557788429363)	(40, 0.5004726189997047)	(41, 0.5005231394700099)	(42, 0.5005231394700099)	(43, 0.5005231394700099)	(44, 0.5005399796267783)	(45, 0.5005399796267783)	(46, 0.5005568197835467)	(47, 0.5005568197835467)	(48, 0.5005568197835467)	(49, 0.5005568197835467)	(50, 0.5005905000970835)	(51, 0.5006241804106203)	(52, 0.5006241804106203)	(53, 0.5006241804106203)	(54, 0.5006241804106203)	(55, 0.5006410205673887)	(56, 0.5006578607241571)	(57, 0.5006747008809255)	(58, 0.5006915410376939)	(59, 0.5006915410376939)	(60, 0.5007083811944623)	(61, 0.5007252213512307)	(62, 0.5007589016647673)	(63, 0.5008094221350725)	(64, 0.5008431024486093)	(65, 0.5008599426053777)
SRR18396512_2 - illumina_universal_adapter	(1, 0.00522044859820009)	(2, 0.005270969068505252)	(3, 0.005270969068505252)	(4, 0.005321489538810415)	(5, 0.005473050949725901)	(6, 0.0055235714200310634)	(7, 0.005691972987714938)	(8, 0.005776173771556874)	(9, 0.005961415496009135)	(10, 0.006079296593387847)	(11, 0.006112976906924622)	(12, 0.0062813784746084955)	(13, 0.006365579258450433)	(14, 0.006432939885523983)	(15, 0.006719222550586568)	(16, 0.006988665058880766)	(17, 0.0070897059994910906)	(18, 0.00715706662656464)	(19, 0.007443349291627226)	(20, 0.01096294205622019)	(21, 0.011181864094209225)	(22, 0.01141762628896665)	(23, 0.011754429424334398)	(24, 0.01199019161909182)	(25, 0.012242793970617631)	(26, 0.012747998673669252)	(27, 0.013253203376720875)	(28, 0.013893129333919596)	(29, 0.014718297015570578)	(30, 0.015290862345695749)	(31, 0.015964468616431245)	(32, 0.017193800060523522)	(33, 0.018591533072299677)	(34, 0.019467221224255822)	(35, 0.02076391329542165)	(36, 0.022414248658723615)	(37, 0.02392986276787848)	(38, 0.025866480796243027)	(39, 0.027870459451681127)	(40, 0.030278601869560523)	(41, 0.03304038757957606)	(42, 0.03600425517081224)	(43, 0.038833401507901315)	(44, 0.04198251082358976)	(45, 0.04519898076635175)	(46, 0.049627941996437636)	(47, 0.0551515134164687)	(48, 0.06170233439937139)	(49, 0.06939828604252443)	(50, 0.07753208176165553)	(51, 0.08697940970872087)	(52, 0.09672986047761716)	(53, 0.10880425288055091)	(54, 0.12069340355903241)	(55, 0.1336603242706907)	(56, 0.1478397362696729)	(57, 0.16388840566994606)	(58, 0.1825641395260877)	(59, 0.20539939210402097)	(60, 0.22879036985531107)	(61, 0.2559367025659515)	(62, 0.2868047099224056)	(63, 0.32119231004345267)	(64, 0.35685976207889714)	(65, 0.3960468068789346)
SRR18396512_2 - polya	(1, 0.0021892203798903605)	(2, 0.00863900042218273)	(3, 0.011181864094209225)	(4, 0.01862521338583645)	(5, 0.023828821827268153)	(6, 0.02856090587918501)	(7, 0.0339160757315322)	(8, 0.03935544636772133)	(9, 0.048381770395576965)	(10, 0.05700393066099131)	(11, 0.06416099728755595)	(12, 0.07163802689271995)	(13, 0.07909821634111557)	(14, 0.08766985613622474)	(15, 0.09693194235883781)	(16, 0.10631190967882959)	(17, 0.11820106035731108)	(18, 0.12889455990523707)	(19, 0.14125523497323342)	(20, 0.15280758251634716)	(21, 0.1641241678647035)	(22, 0.17848882158813792)	(23, 0.1925503524897414)	(24, 0.20885162424154038)	(25, 0.23131639337056917)	(26, 0.25300651528825213)	(27, 0.2663102391352782)	(28, 0.28264519120061393)	(29, 0.2941638584301909)	(30, 0.3073665413366066)	(31, 0.3229942068176701)	(32, 0.34416228387553305)	(33, 0.36674493410194053)	(34, 0.3821199972314782)	(35, 0.40069469014700954)	(36, 0.42014507121449696)	(37, 0.43550329418726624)	(38, 0.4505078738678994)	(39, 0.4657313755865216)	(40, 0.47797416955713923)	(41, 0.4909410902687975)	(42, 0.5089095375406669)	(43, 0.5311890649452434)	(44, 0.5511109704022457)	(45, 0.5705950317832699)	(46, 0.5913926253922283)	(47, 0.615507729884559)	(48, 0.6445064798397221)	(49, 0.6784562358847911)	(50, 0.704794241070549)	(51, 0.7310143651589281)	(52, 0.773737842880327)	(53, 0.8171517670292296)	(54, 0.8606667321187427)	(55, 0.9303513008263297)	(56, 0.9687131779447161)	(57, 1.0039933063744877)	(58, 1.069956200436261)	(59, 1.1204261502711181)	(60, 1.1510752355895832)	(61, 1.1773795604618043)	(62, 1.2023871932628596)	(63, 1.2258118513276863)	(64, 1.2479398173213474)	(65, 1.264224248916378)
SRR18396512_2 - polyg	(1, 2.7579461542723394)	(2, 2.776487166874334)	(3, 2.786321818427072)	(4, 2.796105949509505)	(5, 2.8026399303356393)	(6, 2.808517145047807)	(7, 2.815404769166077)	(8, 2.8273444403148638)	(9, 2.8427195034444015)	(10, 2.855181219453008)	(11, 2.870034237722726)	(12, 2.881603425422608)	(13, 2.9009359253927167)	(14, 2.9082445534301966)	(15, 2.9132292398336395)	(16, 2.9183991679615344)	(17, 2.9237038173435765)	(18, 2.92794753684921)	(19, 2.9320396949439282)	(20, 2.9365023364875507)	(21, 2.9407460559931846)	(22, 2.944198288130704)	(23, 2.9476673604249917)	(24, 2.951540596481721)	(25, 2.9547065459541777)	(26, 2.9570136474314466)	(27, 2.959994355179451)	(28, 2.96272246057593)	(29, 2.9657031683239348)	(30, 2.968414433563645)	(31, 2.971024657862745)	(32, 2.9730454766749514)	(33, 2.9756051805037464)	(34, 2.978148044175773)	(35, 2.9801351826744424)	(36, 2.982156001486649)	(37, 2.9845641439045285)	(38, 2.9873932902416174)	(39, 2.9901045554813277)	(40, 2.9954260450201384)	(41, 2.998591994492595)	(42, 3.0008654156563273)	(43, 3.0026673124305447)	(44, 3.0042334470100047)	(45, 3.0056143398650126)	(46, 3.0066079091143476)	(47, 3.007887761028745)	(48, 3.008763449180701)	(49, 3.009639137332657)	(50, 3.0107505876793708)	(51, 3.0116431159880954)	(52, 3.012400923042673)	(53, 3.013242930881092)	(54, 3.0140344182492065)	(55, 3.0147248646767104)	(56, 3.0155163520448243)	(57, 3.0166783228618432)	(58, 3.017284568505505)	(59, 3.01827813775484)	(60, 3.019103305436491)	(61, 3.0198779526478368)	(62, 3.020703120329488)	(63, 3.0214777675408335)	(64, 3.0226060580443157)	(65, 3.0237175083910293)
