"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"24","YDR175C",768.77900388765,0.00642413712212619,0.132127792479323,0.0486206346263716,0.961221625357357,0.999975563178514,772.276445131635,733.659568204366,818.166244731475,769.549488535582,796.996759411902,722.025517310939
"25","YDR186C",5138.29714159049,0.0809111165742646,0.120415820816591,0.671930947491551,0.50162765750362,0.999975563178514,4553.08820925554,5035.54295306965,5330.31231202134,5494.31798625146,5084.16512839345,5332.35626055151
"26","YDR150W",4258.13420489336,-0.0547804992076816,0.178593780358095,-0.30673240186664,0.759047064732949,0.999975563178514,4667.94397357035,4377.9136501265,3271.75892549873,4438.17765370952,3759.85027136461,5033.16075509047
"27","YDR243C",496.832213318643,0.240477403956271,0.179954371667011,1.33632432337488,0.181443289628916,0.999975563178514,493.708360039758,408.743904694904,640.579773006814,510.821643252067,463.510199960094,463.629398958223
"28","YDL182W",1211.10336961792,0.085603072323675,0.132091627557537,0.648058275202854,0.51694725954079,0.999975563178514,1103.98674953335,1139.80414759119,1223.17212667496,1324.1558440664,1181.04806795027,1294.45328189136
"29","YDR362C",814.465817479878,0.154127210690687,0.127602535310348,1.20786950130597,0.227097462530629,0.999975563178514,838.275652984172,770.050122517426,891.556572331973,753.627774979673,777.733997855119,855.550784210907
"30","YDR232W",2100.03352275723,0.153807987404336,0.130048705768359,1.18269525633186,0.236929944890694,0.999975563178514,2029.68992460789,2196.42988532397,2084.82893591044,1991.54100395157,1875.71140659176,2421.99998015776
"31","YDR158W",1458.76809112663,0.239347993662939,0.125611101081323,1.9054684785223,0.0567192011199863,0.999975563178514,1415.12587226674,1342.5515216211,1681.63516082128,1268.42984662072,1478.4169494831,1566.44919594685
"32","YDR439W",303.791495032721,0.108123544234434,0.177898532497064,0.607782103184122,0.543332000630611,0.999975563178514,275.139554813823,311.919036969084,362.421370866656,303.839367025256,294.961036338242,274.468604183268
"33","YDL206W",2435.94770737337,-0.167196824018748,0.138950454828285,-1.20328374761615,0.228866536130663,0.999975563178514,2610.82580673802,2541.49031997102,2140.0981949676,2786.299872284,2173.0802881246,2363.89176215499
"34","YDR125C",761.496590255483,0.0928199907411711,0.156898065785928,0.591594232065389,0.554122337201236,0.999975563178514,814.275941037795,779.79759242271,884.30814491464,664.731540959184,721.149635782068,704.716686416499
"35","YDR338C",1214.47537918243,0.138845595307144,0.154982873727371,0.895877021556497,0.370318447851889,0.999975563178514,1220.55677898718,1092.36646071881,1462.37023144696,1095.94461643171,1293.01286949907,1122.60131801084
"36","YDR526C",6.5245346828872,0.286063964059939,0.939614243235918,0.304448305375586,0.760786370859042,0.999975563178514,3.42853027805387,7.14814459720817,2.71816028149992,2.65361892598477,10.8353033756905,12.3634506388859
"37","YDR533C",3919.09658750176,-0.112277033084614,0.146905553511684,-0.764280385599469,0.444700171523083,0.999975563178514,4409.94707014679,4481.23683112251,3746.53092133405,3380.71051170459,3803.19148486737,3692.96270583523
"38","YDR272W",5044.28460312029,-0.0997956218814196,0.134852126684689,-0.740037434595018,0.459277280134257,0.999975563178514,5436.79188842393,5684.07461743454,4986.91806312518,4467.36746189535,5046.84352787718,4643.71205996556
"39","YDR197W",845.518433477036,-0.0846940219320202,0.142163128615792,-0.595752377966532,0.551340661650097,0.999975563178514,976.27399667584,797.343038252221,785.548321353476,842.524009000163,830.706592136272,840.714643444244
"40","YDR512C",2367.62195168236,-0.0626572006790208,0.232111960332785,-0.269943869282683,0.787203436713331,0.999975563178514,2183.1166545508,2915.1433330069,2970.04313425224,1915.912864561,2593.24927458193,1628.26644914128
"41","YDR489W",132.212173044532,-0.0370762906069954,0.235596599041011,-0.157371926241352,0.874951737362513,0.999975563178514,140.569741400209,127.366940095709,116.880892104496,157.890326096094,107.149111159606,143.416027411077
"42","YDR299W",444.395677544405,-0.107805831470006,0.216417320451816,-0.498138648260403,0.61838632158883,0.999975563178514,340.281630096847,456.831422894304,496.517278087318,502.860786474113,523.706329825041,346.176617888806
"43","YDL015C",1171.21689494059,-0.0760120408053461,0.136282824014947,-0.557752169833298,0.577013627835406,0.999975563178514,1289.12738454826,1167.09706332599,1029.2766932613,1156.97785172936,1150.95000301779,1233.87237376082
"44","YDR304C",1493.61039864832,-0.0707021582463758,0.147987595350566,-0.477757328774012,0.632822935470918,0.999975563178514,1716.83653673548,1596.6355704855,1397.13438469096,1292.31241695458,1462.76595571822,1495.9775273052
