"","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"YPL079W",444,648,323,265,334,241
"YPL150W",1888,2158,2065,1111,1193,1269
"YPR192W",2400,3550,1782,1620,1426,1817
"YPL226W",1906,2904,2134,1482,1592,1681
"YPL115C",967,1081,958,580,664,588
"YPL283W-A",0,0,0,0,0,0
"YPL170W",2299,3735,2254,1507,1796,1338
"YPL245W",309,357,249,211,187,155
"YPR140W",1811,2162,1374,1110,1000,1308
"YPR048W",558,692,474,391,360,440
"YPR102C",321,592,351,267,315,252
"YPL036W",6758,8652,5777,3637,3636,4834
"YPR015C",243,362,236,130,166,165
"YPR133W-A",166,222,152,108,100,79
"YPL146C",880,1283,919,576,717,531
"YPR107C",1157,1412,1059,592,844,562
"YPL035C",15,26,22,15,17,21
"YPL082C",897,1069,618,579,558,711
"YPR064W",91,95,129,71,53,32
"YPL216W",764,1021,671,503,490,503
"YPL152W",453,656,525,274,335,320
"YPL230W",6458,7847,5109,3475,3547,4564
"YPL159C",3093,3992,2984,1964,2215,2014
"YPR183W",583,902,665,427,530,584
"YPL204W",3636,5030,3761,2432,2703,2755
"YPL109C",903,1108,794,489,563,628
"YPL249C",1990,2716,2019,1493,1312,1544
"YPR154W",6705,7653,7429,4189,5405,5198
"YPR026W",8732,11058,6392,5403,5025,7052
"YPR076W",3,3,3,1,3,1
"YPR170W-B",18,8,9,5,4,9
"YPR016C",782,1067,940,540,672,627
"YPL060W",1128,1346,1006,540,626,572
"YPR029C",2479,3087,2093,1545,1503,1570
"YPR002C-A",15,7,10,9,4,4
"YPL106C",11518,14452,13686,7061,8542,10367
"YPR085C",1010,1293,947,594,656,697
"YPL008W",717,955,717,446,517,457
"YPR152C",1298,1601,1265,745,972,627
"YPL212C",903,1116,1186,546,688,594
"YPL119C",3660,5076,3273,2553,2425,2630
"YPL078C",3227,3999,3040,1994,2330,2093
"YPL195W",2268,3017,1794,1400,1452,1549
"YPL025C",6,17,11,14,21,13
"YPR060C",192,219,150,106,171,120
"YPL199C",375,634,385,282,256,304
"YPL228W",1313,1547,1671,726,1057,794
"YPL018W",1178,1375,1102,714,697,1036
"YPL259C",1995,2242,1683,1156,1411,1275
"YPR150W",40,13,9,15,10,12
"YPL072W",228,328,154,150,166,115
"YPL130W",41,25,23,18,18,3
"YPR179C",954,1420,1661,652,934,588
"YPR096C",94,98,61,34,45,50
"YPL028W",1915,2466,1437,1108,1243,1088
"YPL174C",773,1212,887,572,565,516
"YPR031W",782,1048,641,505,486,492
"YPL257W-A",0,0,0,0,0,0
"YPR158W-A",0,0,0,0,0,0
"YPL257W-B",1,0,2,1,0,0
"YPR158C-D",9,7,4,2,0,8
"YPR137C-A",0,0,0,0,0,0
"YPR137C-B",1,1,0,1,0,0
"YPR158W-B",37,32,36,11,8,21
"YPL060C-A",29,43,29,18,31,33
"YPR158C-C",0,0,0,0,0,0
"YMR172W",1205,1603,1306,762,831,899
"YMR027W",3750,4743,3660,2362,2707,2644
"YML089C",15,18,20,11,12,3
"YMR290C",958,1590,1239,831,932,707
"YMR139W",2375,2914,2080,1507,1480,1879
"YMR191W",5892,8726,5158,4514,4704,4257
"YMR244C-A",2,2,7,3,1,2
"YMR091C",878,1136,939,635,691,725
"YMR173W-A",997,994,707,534,545,653
"YMR180C",449,661,447,255,332,355
"YML020W",1124,1496,1083,808,788,835
"YML088W",1375,1697,1174,886,814,772
"YML077W",197,300,232,133,146,115
"YML125C",572,722,539,351,407,350
"YMR318C",3132,3101,2087,1962,1569,1990
"YMR115W",1280,1752,960,851,760,1042
"YMR266W",1639,2039,1399,958,1256,1138
"YML057W",2559,2758,2060,1576,1458,1753
"YML055W",310,430,304,207,253,239
"YMR105C",7491,7964,6255,3764,4581,6506
"YMR268C",530,610,547,437,379,343
"YML133W-B",0,0,0,0,0,0
"YML090W",120,202,108,91,73,118
"YML101C",275,384,308,178,205,154
"YMR012W",1634,2233,1393,1089,979,1369
"tY(GUA)M2",0,0,0,0,0,0
"YMR202W",1231,1520,950,828,736,658
"YMR083W",3339,4725,3948,2477,2902,2641
"snR76",17,37,16,15,21,9
"YMR017W",100,117,87,30,52,38
"YML085C",506,664,663,319,465,415
"YML013W",1181,1443,1235,749,804,996
"YMR224C",717,800,671,374,410,491
"YMR059W",326,562,358,246,294,188
"YMR072W",2678,3114,2353,1391,1734,1845
"YMR304W",8785,11044,8116,5695,5527,6866
"YML087C",477,569,408,225,250,228
"YMR195W",4653,5666,7198,2763,4604,3047
"YMR240C",1074,1301,1156,723,759,678
"YMR308C",2075,3012,2122,1732,1677,1922
"YML001W",517,604,421,247,347,266
"YML114C",1031,1340,973,711,739,772
"YMR319C",2041,2560,2111,1250,1585,1041
"YML075C",2822,4044,1842,2186,1589,2435
"YMR075W",460,644,548,277,372,296
"YML129C",304,387,242,208,227,223
"YML073C",287,547,280,252,295,223
"YMR149W",1472,1513,1211,811,872,967
"YMR233W",93,152,97,74,111,71
"YMR048W",231,302,241,168,156,170
"YML030W",1471,2091,1408,972,1099,946
"YMR118C",2599,3817,2451,1544,2083,1538
"YMR260C",1068,1690,881,830,914,703
"YMR135W-A",41,24,30,3,12,23
"tM(CAU)M",2,0,0,0,0,0
"YML056C",377,422,331,265,263,234
"YML064C",575,682,467,352,449,415
"YML132W",5,0,0,0,2,3
"YML113W",1382,2425,1492,1333,1315,1050
"YML058W-A",129,153,113,95,109,75
"YMR136W",2327,2876,2549,1609,2024,1504
"YML091C",1094,1830,1121,844,781,1085
"YMR199W",49,94,91,62,54,48
"YMR286W",419,591,471,279,347,280
"YMR025W",535,643,484,296,355,272
"YMR112C",280,374,314,127,234,98
"YML127W",3414,3450,3387,1795,2028,1812
"YML005W",2404,2364,1441,1202,1153,1539
"YMR160W",1616,1988,1603,991,1019,1205
"YMR046W-A",0,0,0,0,0,0
"YMR096W",13435,17458,14097,10365,11966,9701
"YML133C",0,6,6,0,2,2
"YMR246W",853,1048,770,522,602,540
"YMR052C-A",17,16,14,5,10,18
"YMR120C",1383,3171,1816,831,1333,1471
"YMR052W",367,318,373,201,278,170
"YML100W-A",24,26,24,19,24,13
"YML049C",1788,2082,1178,1003,990,1230
"YMR065W",332,389,332,162,226,126
"YMR098C",1123,1642,1226,784,721,737
"YMR302C",5333,6468,5277,3300,3569,3814
"YMR075C-A",0,2,0,2,0,2
"YML060W",46,62,66,32,24,53
"YMR080C",2071,2489,1651,1363,1264,1450
"YMR156C",998,1273,1314,657,832,546
"YMR294W",737,978,1016,366,663,392
"YMR167W",762,797,567,502,441,607
"YMR242W-A",7,7,10,0,1,4
"YMR079W",790,1420,878,674,658,661
"YMR275C",967,1396,1169,828,740,783
"YMR100W",1269,1895,1196,822,900,909
"YMR030W-A",10,14,15,6,4,2
"YMR161W",1975,2491,3211,1014,1753,1000
"YMR183C",2293,2929,2069,1205,1537,1582
"YML021C",461,491,396,293,335,244
"YML074C",2518,4518,3092,2362,2328,2545
"YMR157C",323,404,329,170,234,208
"YMR110C",9197,10719,5761,5150,4792,6615
"YMR097C",848,979,734,485,427,546
"YMR111C",977,1059,1114,563,736,573
"YML011C",592,863,768,390,565,284
"YMR064W",1286,1640,1211,808,853,863
"YML082W",557,903,594,448,473,437
"YMR300C",1043,1896,1266,705,983,806
"YMR262W",1332,1641,943,707,785,834
"YMR031C",9644,11098,7748,5404,5109,7287
"YMR016C",1332,2453,1802,1139,1430,1171
"YMR066W",885,1161,1333,585,766,544
"YMR007W",191,172,94,115,97,115
"YMR201C",1656,1980,1997,965,1143,992
"YMR232W",546,764,650,420,369,345
"YMR200W",2814,4171,3293,2420,2612,2268
"YMR297W",15010,16831,11317,7841,8717,11468
"YML026C",683,1505,632,468,666,494
"YML023C",370,587,308,274,280,345
"YMR143W",396,1008,501,313,410,306
"YMR073C",583,759,558,385,344,414
"YML069W",1914,2068,1283,1096,1066,1100
"YML050W",340,382,383,156,204,198
"YML099W-A",24,10,14,7,9,8
"YMR211W",274,414,420,223,297,188
"tF(GAA)M",6,3,5,3,2,2
"YMR283C",452,606,405,287,360,322
"snR74",2,0,4,0,4,6
"RNA170",49,88,53,39,31,17
"YML078W",219,313,269,143,170,169
"YMR142C",796,1697,892,741,756,764
"YMR203W",785,1064,795,586,640,581
"YMR077C",887,1114,802,427,587,379
"YMR245W",51,98,37,25,45,26
"YMR284W",2967,4039,2520,1318,1824,1161
"YMR089C",2344,3186,2279,1537,1621,1821
"YMR134W",634,870,419,448,338,418
"YMR290W-A",1,4,6,2,0,0
"YMR095C",371,535,593,328,398,324
"snR83",74,58,43,29,50,44
"snR73",0,2,1,0,0,0
"tH(GUG)M",4,7,1,3,2,3
"YMR099C",1113,1177,985,576,697,697
"YMR132C",650,710,407,266,305,281
"YML115C",2280,2838,2135,1424,1612,1562
"snR11",1056,1412,1151,638,807,772
"YMR086W",2529,3509,2170,1634,1629,1991
"YMR044W",1809,2203,2073,1231,1353,1163
"YMR222C",378,536,385,249,280,361
"YMR272W-A",0,0,0,0,0,0
"YMR321C",0,0,0,0,0,0
"YML131W",13489,16494,9239,6473,7218,8483
"YML038C",1486,1397,1201,892,1009,891
"YML122C",44,61,47,25,16,42
"YMR036C",3400,3811,2924,2236,2109,2246
"YML012W",1581,1951,1196,900,1026,986
"YML100W",27658,24559,17249,13202,12166,22374
"YMR312W",506,653,472,324,384,341
"YML112W",604,1074,631,505,532,531
"YML099C",1288,1675,1219,997,867,1102
"YML123C",9560,16533,14337,8237,8351,8339
"tV(AAC)M3",0,0,0,0,1,0
"YMR141C",65,52,46,27,34,44
"YMR324C",0,0,0,0,0,0
"YMR207C",1881,2337,1913,1140,1252,1359
"YMR236W",559,698,552,322,386,368
"YML034C-A",56,76,32,23,33,35
"YMR204C",618,830,733,425,413,425
"YMR011W",978,1949,1938,919,1513,926
"YML008C",1000,1623,1071,826,881,809
"YMR109W",2411,2866,1744,1483,1341,1739
"YMR004W",2096,2367,1721,1263,1266,1445
"YMR158C-A",13,19,18,8,14,8
"YMR216C",2377,3828,2777,1862,1986,1986
"YMR159C",18,17,24,9,14,17
"YMR307C-A",0,0,0,0,0,0
"YMR272C",2710,3692,2398,1635,1848,2340
"YMR106C",859,1287,814,606,644,708
"YML092C",2655,3190,2120,1470,1626,2031
"tV(AAC)M2",1,1,0,1,0,0
"YML104C",400,660,332,306,258,344
"YML058W",2406,2669,2313,1334,1736,1449
"tW(CCA)M",0,0,1,0,0,0
"YMR148W",1111,1498,908,728,734,899
"YMR168C",356,519,451,191,309,290
"YML063W",1588,2827,1366,1267,1339,1269
"YMR008C",7124,8010,7442,4460,5632,4880
"YMR294W-A",430,515,362,205,276,255
"YMR177W",71,112,98,81,49,67
"YMR213W",819,1132,922,667,623,729
"YMR192W",869,983,749,611,599,607
"YMR326C",0,2,0,0,0,0
"YMR014W",854,1272,944,702,716,539
"YMR020W",5054,5893,5157,2845,3968,3055
"snR86",1341,1985,1707,803,1163,622
"YMR208W",1476,1809,1552,967,1091,894
"YML098W",543,924,859,471,523,417
"YMR133W",458,523,305,220,254,376
"YML028W",4920,4582,3526,2243,2547,3135
"YMR285C",794,968,717,518,569,559
"YMR040W",1388,1466,834,617,693,534
"YMR094W",81,100,86,65,58,77
"YMR189W",2229,3167,1808,1217,1402,1667
"YML128C",75581,89653,59862,44383,45208,52541
"YML022W",560,1009,584,414,462,371
"YMR299C",813,995,758,459,613,434
"YMR227C",1134,1702,1251,820,868,786
"YMR119W",992,1322,827,660,555,703
"YMR255W",2572,3623,4171,1837,2540,1699
"YMR024W",563,755,576,350,444,314
"YML054C",17999,20108,12754,9307,8528,12789
"YMR317W",1107,1356,1012,798,714,921
"YMR084W",3087,2647,2757,1471,1833,1795
"YMR274C",92,129,86,64,70,43
"YMR215W",121,178,132,117,103,132
"YMR277W",778,1086,775,611,579,616
"YMR033W",820,1176,714,545,558,545
"YML094C-A",1,4,3,1,2,2
"YML041C",574,809,641,368,496,370
"YMR305C",127,221,210,193,190,191
"YMR315W-A",91,123,115,67,89,60
"YMR237W",1162,1267,1042,644,692,863
"YML095C",430,620,454,295,391,263
"YMR018W",67,134,55,50,34,52
"YMR163C",235,288,181,150,126,133
"YML027W",328,485,269,190,194,205
"ZOD1",0,0,0,0,0,0
"tD(GUC)M",0,0,1,0,0,0
"YMR162C",1715,2346,1448,1139,1203,1446
"YMR158W",443,526,427,232,284,183
"YMR210W",1343,1773,1358,868,886,860
"YMR316C-A",28,10,4,4,7,6
"YMR241W",233,421,286,191,227,167
"YMR205C",6991,9659,8475,4777,5122,6255
"YMR235C",930,1316,938,691,679,681
"YMR047C",2257,3135,2129,1673,1546,1710
"YMR259C",510,781,545,357,380,357
"YMR175W-A",1201,605,388,279,256,554
"YMR281W",783,1014,799,499,673,527
"YMR261C",3733,3649,2808,1876,2163,2594
"YMR026C",1146,1334,1144,670,716,714
"YML010W",2676,3699,3007,1962,1951,2230
"YMR150C",450,640,361,205,271,215
"YMR067C",1050,1227,888,616,676,656
"YMR179W",189,268,211,162,127,152
"YMR126C",276,429,269,259,188,217
"YML032C",1778,2204,1343,1089,1010,1274
"YML018C",344,423,284,227,203,225
"YML081W",2475,3320,2693,1668,1926,1540
"YMR003W",491,684,361,293,340,218
"YMR221C",868,907,680,487,483,567
"YMR257C",577,695,661,277,418,230
"YML068W",673,945,757,487,516,492
"YMR117C",203,328,431,134,258,109
"YMR060C",314,440,273,210,208,140
"YMR144W",68,89,94,87,92,62
"YMR068W",1973,2581,1572,1325,1219,1338
"YML097C",580,782,505,360,465,362
"YMR182C",756,1082,827,496,551,770
"YMR295C",6028,6905,6089,3707,4919,3924
"YMR181C",2121,2684,2232,1400,1598,1824
"YML080W",421,601,463,240,312,220
"YMR194C-B",385,414,300,223,227,332
"YMR140W",3770,4612,3592,2465,2612,2692
"YMR058W",1912,4196,2454,1804,1928,1990
"YMR076C",510,760,468,388,323,435
"YMR239C",725,1152,804,505,522,473
"tG(GCC)M",0,0,0,0,0,0
"YMR242C",444,638,395,310,346,338
"YMR306C-A",27,37,19,18,5,26
"YMR193C-A",113,158,100,72,89,48
"YMR114C",5189,7337,5280,3544,3805,4036
"YMR009W",2022,2600,2099,1406,1664,1231
"YMR088C",1317,1692,1426,782,970,763
"YMR253C",916,1114,888,620,728,636
"YMR103C",1029,1070,677,604,627,847
"YMR254C",298,401,306,232,201,230
"YMR303C",480,960,549,363,355,446
"YMR316W",2402,2049,1535,1392,1314,1073
"YML017W",1533,2471,1657,999,1174,1148
"YMR104C",5536,7272,5214,4175,3990,4427
"YMR309C",1639,2216,1393,1283,1171,1265
"YML133W-A",0,0,0,0,0,0
"YMR155W",1089,1236,861,659,671,677
"YMR313C",2860,3466,2553,1804,1826,1808
"YMR028W",984,1143,983,516,691,617
"snR72",0,2,1,0,4,0
"YMR154C",264,343,341,171,197,237
"tY(GUA)M1",12,12,5,5,5,5
"snR75",2,0,2,0,3,1
"YML096W",415,585,366,267,261,313
"YML016C",2930,3528,2255,2118,1770,2196
"YML006C",1234,1596,1078,833,870,745
"YMR178W",1179,1532,962,623,778,666
"YML109W",375,577,507,317,342,296
"YML015C",663,1076,833,459,506,500
"YMR197C",1141,1392,1141,700,751,888
"YML014W",390,512,347,256,280,301
"YML106W",516,789,531,331,412,351
"YML025C",879,1137,885,618,630,655
"tS(AGA)M",2,0,0,4,0,0
"YMR172C-A",3,2,0,0,0,2
"YMR193W",810,1073,939,544,696,503
"YML052W",2236,2084,2700,1053,1577,1712
"YML079W",785,934,631,349,529,550
"YML101C-A",0,0,0,0,0,0
"YML047C",0,2,8,0,0,0
"YMR174C",20785,35174,24593,15459,18618,16372
"YMR218C",1043,1334,949,628,751,675
"YMR315W",16488,20520,13732,9671,10629,10706
"YMR001C",225,284,302,157,171,144
"tV(AAC)M1",5,0,3,1,8,1
"tE(UUC)M",0,0,0,0,0,0
"YML121W",1635,2475,1643,1152,1275,1223
"YMR085W",5155,5475,4481,2867,3530,2904
"YMR105W-A",98,123,70,80,57,98
"YMR122C",23,27,28,11,16,22
"snR78",5,12,3,0,9,2
"YMR217W",800,1444,1061,691,872,684
"tA(AGC)M2",2,1,0,2,0,0
"YMR298W",1001,1319,1194,552,807,636
"YMR057C",29,35,14,17,12,15
"YML042W",3563,6005,2998,3275,2735,3835
"YMR320W",49,83,75,22,34,6
"YMR287C",498,569,502,326,397,313
"YMR289W",850,1170,874,536,630,580
"YML048W",5591,7288,4696,3585,3865,4005
"YMR250W",13975,16340,10452,7474,7677,10448
"YMR230W-A",5,0,3,3,0,2
"YMR124W",2579,3277,2508,1871,1809,2193
"YMR311C",9888,12410,8981,6182,6980,6604
"snR77",6,13,4,5,6,1
"YMR322C",4,4,5,0,1,0
"YML119W",1534,1848,1682,951,1194,914
"YML043C",423,681,524,297,382,248
"YML046W",353,595,358,224,236,237
"YML004C",48156,58483,39689,25815,29101,30412
"YMR071C",390,570,438,243,352,359
"YMR229C",1494,2500,1625,1280,1256,1223
"YMR063W",353,370,313,137,221,182
"YMR301C",1048,1361,830,654,646,812
"YMR276W",2866,3411,2564,1813,1964,2480
"YMR002W",3657,4908,4135,2254,3363,2107
"YML081C-A",662,973,882,422,562,455
"YML019W",343,425,285,189,276,261
"YMR176W",1677,2404,1519,1160,1126,1503
"YMR158W-B",3,6,9,1,0,3
"YML108W",474,804,650,286,504,236
"YMR198W",297,437,393,250,242,233
"YML094W",261,398,283,147,235,227
"YMR006C",223,384,261,201,136,211
"YML003W",3754,4237,2896,2296,2055,2336
"YML057C-A",154,166,79,64,103,100
"YML009C-A",5,7,2,2,3,3
"tQ(CUG)M",0,0,0,0,0,0
"YML093W",777,1528,1139,732,815,640
"YMR116C",236,397,206,166,162,157
"YMR196W",12257,12561,7690,5898,5645,8408
"YML053C",1727,1923,1663,925,1074,1067
"YMR151W",120,172,83,73,72,73
"YML009C",392,696,409,286,337,247
"YMR070W",2957,3564,2902,1555,1860,1429
"YMR219W",4181,5606,3814,2958,2851,3738
"YML037C",196,220,229,118,123,124
"YMR280C",2327,3524,1818,1609,1601,1870
"YMR170C",2509,3392,2567,1607,1757,1732
"YMR123W",261,442,318,166,285,204
"YML012C-A",14,17,11,8,11,14
"YMR019W",1299,1645,1078,795,774,813
"YMR206W",1409,2845,1366,1180,1120,1245
"YMR165C",4964,5876,4705,2980,3144,3655
"YMR010W",373,632,346,289,338,230
"YMR184W",564,634,658,425,426,345
"YML126C",2301,2489,1743,1275,1218,1342
"YMR244W",131,144,145,62,106,45
"YMR279C",1382,1389,680,800,590,1208
"YMR316C-B",4,5,1,1,3,2
"YMR107W",40257,71236,38086,24641,34246,20485
"YML054C-A",50,45,26,23,22,14
"YMR043W",3598,4772,3684,2420,2638,2612
"tA(AGC)M1",0,0,0,0,0,0
"YMR270C",376,482,329,203,254,212
"YMR175W",56086,59828,56818,33312,42426,30598
"YML009W-B",0,0,0,0,0,0
"YMR035W",441,374,254,251,208,240
"YMR108W",3917,5453,4287,3002,3172,3898
"YML002W",6690,6975,3831,4012,2973,3784
"YML111W",465,656,397,283,352,279
"YMR278W",2431,2838,1973,1594,1553,1822
"YMR185W",633,1023,594,468,508,516
"YMR304C-A",144,147,80,92,46,110
"YML084W",0,5,0,0,4,4
"YMR258C",999,1213,756,593,607,643
"YMR023C",550,586,433,343,365,286
"YMR291W",10169,13772,11448,6182,7278,8704
"YMR041C",3213,3903,2832,1831,1989,2274
"YMR029C",1517,2012,1485,879,1057,1104
"YMR092C",3055,3394,2290,1721,1738,1708
"YMR138W",198,389,365,131,207,140
"YMR122W-A",657,759,883,522,536,573
"YMR053C",2181,2734,2310,1433,1637,1339
"YMR220W",2139,2822,1663,1532,1355,1605
"YMR087W",716,776,495,407,407,447
"YML031W",608,946,537,454,380,494
"YML118W",1811,2485,2291,1248,1539,1492
"YML120C",7161,7669,5528,4142,3852,4887
"YMR078C",170,236,138,158,131,129
"tL(CAA)M",0,0,0,0,0,0
"YMR042W",761,1037,747,699,601,746
"YMR251W",2596,3487,2204,1532,1839,1706
"YMR223W",716,926,625,423,465,414
"YML007C-A",6,5,15,5,7,5
"YMR256C",710,1099,688,404,526,356
"YMR214W",479,610,497,442,300,408
"tP(UGG)M",5,13,8,6,6,2
"YMR055C",461,559,399,301,334,294
"YML117W",6962,8050,5984,4675,4472,5472
"YMR271C",3601,5232,3750,1563,2658,1989
"snR24",2,4,2,0,1,0
"YMR226C",8900,11237,7862,5939,5910,6108
"YML110C",1868,2523,1675,1206,1230,1510
"YML047W-A",0,0,0,1,0,1
"YML007W",5174,7759,4854,3432,3785,4113
"YMR190C",782,1138,890,632,600,674
"YMR225C",278,383,315,221,238,184
"YMR264W",626,931,614,440,454,466
"YMR037C",3133,3526,2691,1935,2022,2098
"YML024W",486,958,474,303,410,301
"YML083C",128,181,149,68,68,65
"YMR182W-A",21,16,14,22,13,16
"YMR030W",520,728,501,412,395,403
"YMR187C",441,595,447,231,296,321
"YMR238W",1581,2162,1537,1343,1551,1272
"YML061C",445,722,541,311,361,307
"YMR130W",403,589,461,337,317,281
"YMR005W",2143,2821,2225,1345,1614,1484
"YMR054W",2494,3003,2183,1651,1654,1765
"YMR209C",556,731,430,337,350,368
"YML102W",773,1106,746,481,580,524
"YMR194W",150,170,140,84,72,82
"YMR252C",523,621,540,285,340,382
"YMR164C",3218,4445,2889,2074,2077,2429
"YMR074C",840,1040,667,438,538,404
"YML065W",1043,1545,930,794,732,918
"YMR243C",1832,2395,1564,1150,1220,1242
"snR85",23,25,24,10,26,12
"YMR145C",2149,2769,1119,1301,1053,1450
"YML071C",1179,1755,1316,865,977,982
"YMR015C",1636,2779,1099,1337,938,1321
"YML070W",38427,42158,28278,21015,19101,28914
"YMR125W",997,1385,1053,761,734,868
"YMR325W",0,0,0,0,0,0
"YMR141W-A",96,93,42,51,56,55
"YML072C",5394,6851,4336,3456,3212,4391
"YML105C",715,927,584,452,452,467
"YMR119W-A",22,32,9,16,9,11
"YMR069W",81,143,121,52,89,84
"YMR293C",498,489,481,245,335,276
"YML124C",1629,1672,1872,879,1181,906
"YMR090W",9116,12976,8666,4954,6186,5264
"YML029W",1861,2231,1592,1164,1171,1328
"YMR171C",2088,2840,1802,1576,1384,1585
"YMR102C",1596,1939,1242,1185,1049,1079
"YMR188C",2581,3950,2945,1469,2101,1130
"YMR269W",265,479,350,194,268,176
"YMR128W",1036,1517,1046,897,808,840
"YMR039C",5725,7371,6549,3764,4234,3834
"YMR230W",969,2411,1078,758,1025,614
"YMR267W",530,715,454,321,403,355
"YMR247C",3319,4281,2474,2257,1894,2450
"YMR152W",2797,3337,2499,1539,1794,1849
"YMR251W-A",12078,16222,9582,5607,8141,6192
"YMR146C",2030,2696,1738,1408,1449,1607
"YMR228W",365,421,357,225,229,168
"YMR032W",190,176,309,155,154,92
"YMR013C-A",0,0,0,0,0,0
"YMR001C-A",0,0,2,0,0,0
"YMR031W-A",45,65,31,30,24,36
"YMR153W",1006,1349,1192,747,802,675
"YMR056C",1354,1559,1122,862,864,972
"YMR282C",474,662,354,307,331,264
"YMR234W",627,897,644,437,531,442
"YMR323W",11,15,10,4,0,0
"YMR062C",1826,2113,1492,888,965,1186
"YMR247W-A",134,140,106,63,39,65
"YMR038C",2016,2364,1867,1085,1368,1147
"YMR049C",480,918,696,578,532,478
"YMR272W-B",6,4,4,4,3,4
"YMR147W",246,461,276,204,247,212
"YML067C",1273,1709,995,645,796,636
"tK(CUU)M",2,0,2,3,2,2
"tR(UCU)M1",0,3,2,0,2,0
"YML107C",551,732,459,349,401,350
"snR54",6,6,7,2,5,2
"YMR231W",991,1130,835,577,541,703
"YMR081C",2242,4029,2924,1507,1945,2576
"YML051W",1479,1588,2171,707,1357,1309
"YMR314W",1754,2157,1457,970,1192,1291
"YMR113W",660,609,648,362,432,293
"YML031C-A",0,2,2,1,0,0
"YMR263W",2251,3118,2397,922,1720,1048
"YML034W",3394,3729,4001,1874,2654,1979
"YMR131C",870,1286,1006,748,813,668
"YMR310C",520,835,660,451,523,479
"YMR034C",1611,1613,1004,1049,921,981
"YML103C",1377,1714,1094,801,845,1032
"YMR306W",1140,1794,1128,680,683,765
"YMR169C",86370,103198,67363,48673,50260,62523
"YMR186W",13969,19898,15718,8888,10693,11285
"YML059C",1699,1937,1221,1141,1092,1164
"YML086C",1949,2453,1632,1224,1135,1562
"YMR013C",256,402,266,184,204,225
"YMR127C",338,430,314,199,241,193
"YMR153C-A",11,11,13,5,11,11
"YMR212C",398,520,330,228,209,283
"YMR296C",2203,2481,2182,1430,1456,1548
"YMR101C",72,82,53,52,62,41
"YMR166C",255,335,304,221,211,159
"YMR061W",1562,2058,1546,900,1072,922
"YMR288W",654,909,799,490,528,490
"YMR265C",983,1195,975,443,783,635
"YML116W",2520,3072,2123,1220,1483,1607
"YML130C",1584,1930,2003,822,1270,892
"YMR273C",1066,1386,1210,782,813,898
"YMR292W",150,183,85,66,62,75
"YMR137C",851,1342,896,645,715,639
"YMR013W-A",0,0,0,0,0,0
"YML076C",2021,3026,1879,1564,1417,1650
"YMR082C",11,12,14,7,15,20
"tR(UCU)M2",1,10,2,3,0,2
"YMR022W",1156,1359,995,698,741,810
"YML062C",922,1052,898,682,625,564
"YMR086C-A",89,133,54,53,64,75
"YML035C",2450,3051,2142,1607,1502,1756
"YMR173W",4458,6173,5042,2938,3421,3492
"YMR194C-A",96,125,80,58,91,63
"YMR093W",529,751,594,412,484,349
"YML036W",121,169,110,61,105,68
"YMR307W",265,375,305,198,216,231
"YML116W-A",32,36,15,28,27,27
"YMR021C",1575,1607,1633,904,1088,891
"YMR135C",3052,3998,2670,1966,2000,2417
"YMR121C",531,816,606,420,534,407
"YMR129W",1577,2016,1336,1053,1030,1191
"YML066C",184,206,120,139,118,129
"YMR045C",116,155,145,99,68,140
"YMR050C",11,11,14,4,8,5
"YML045W",2,5,2,0,0,1
"YML040W",0,0,0,0,0,0
"YML045W-A",0,0,0,0,0,0
"YMR046C",0,0,0,0,0,0
"YMR051C",0,0,0,0,0,0
"YML039W",4,5,10,0,0,6
"YBR225W",2832,3737,2058,1878,1634,2268
"YBR182C-A",18,11,7,11,5,7
"YBL055C",805,852,654,478,464,443
"YBR293W",771,784,530,408,384,416
"YBR223W-A",0,0,0,0,0,0
"YBR115C",1022,1207,980,629,677,882
"YBR031W",860,1674,978,838,798,839
"YBL108C-A",6,5,8,1,2,1
"YBR116C",308,132,100,70,59,210
"YBR241C",8923,8959,6112,4554,4329,6786
"YBR182C",554,610,571,347,486,276
"YBR134W",16,22,10,7,2,13
"YBL037W",946,1209,855,615,586,589
"YBR019C",12835,19156,32069,7656,20677,12210
"YBR022W",393,552,267,173,214,169
"YBR121C-A",0,0,0,0,0,0
"YBR119W",1030,1269,1010,605,640,717
"YBL022C",3411,4584,2991,2206,2119,2727
"snR161",18,17,6,11,5,17
"YBR243C",294,410,240,198,184,205
"YBR234C",1701,2021,1325,935,1055,1251
"YBR179C",1688,2276,1608,1182,1141,1311
"YBR247C",585,907,550,519,411,438
"YBR124W",11,7,3,2,1,3
"YBL086C",2505,2983,2612,1483,1822,1835
"YBL065W",156,77,39,46,28,112
"YBR227C",925,1108,1036,536,654,627
"YBR218C",1740,2696,1803,1100,1307,1571
"YBR244W",680,705,612,277,464,279
"YBR160W",1215,1670,1104,797,846,867
"YBL080C",703,955,582,498,459,540
"YBR083W",583,888,503,436,401,428
"YBR294W",932,1287,868,669,670,692
"tI(AAU)B",0,0,0,0,0,0
"YBR091C",131,212,111,86,81,59
"YBR284W",1493,1483,1239,698,1097,584
"YBR158W",268,425,281,208,242,197
"YBR111W-A",487,716,436,249,309,221
"YBL071C",78,128,95,55,73,48
"YBR126W-B",14,35,28,11,19,14
"YBR229C",1541,1925,1317,972,1010,1161
