"","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"YDR394W",3238,4217,2865,1897,2088,2588
"YDR320C-A",692,1254,832,486,638,396
"YDR003W-A",381,370,316,178,278,229
"YDR183W",98,150,123,109,88,66
"YDR245W",959,1193,1123,539,756,575
"YDR431W",0,0,1,0,2,3
"YDL154W",412,518,479,250,333,290
"YDL184C",250,458,264,133,228,128
"YDR153C",2843,3767,3033,2091,2074,2054
"YDR014W-A",3,16,11,6,7,10
"YDR434W",946,1370,958,670,774,590
"YDL002C",738,1184,624,450,479,389
"YDR225W",892,1097,808,505,662,693
"YDR418W",72,81,52,37,32,43
"YDR224C",1614,1988,1476,808,1025,1089
"YDR502C",2328,2496,1908,1276,1324,1536
"YDR447C",220,446,213,137,188,134
"YDL039C",508,569,566,286,482,296
"YDL225W",1186,1553,1229,847,885,763
"YDR259C",344,573,363,320,317,337
"YDR495C",710,905,596,464,506,572
"YDL151C",19,34,20,25,18,12
"YDR357C",998,2090,1122,635,917,636
"YDR370C",387,614,401,289,338,245
"YDR298C",616,964,587,404,519,543
"YDR276C",3929,4102,3565,1818,2272,2607
"YDL185C-A",104,167,104,94,83,72
"YDR545C-A",0,0,0,0,0,0
"tM(CAU)D",1,0,1,0,0,0
"YDL247W",0,2,6,3,4,2
"YDR406W",6793,9256,5555,4023,4323,5315
"YDR273W",983,1066,648,514,517,658
"YDR269C",3,3,1,1,3,10
"YDR453C",1785,1802,2014,823,1127,1399
"YDR383C",357,556,373,228,265,212
"YDR375C",995,1033,907,606,569,599
"YDL161W",3530,4236,4248,2132,2644,2271
"YDL051W",552,961,640,434,474,376
"YDR084C",368,467,381,228,291,266
"YDL056W",2096,2426,1729,1265,1293,1394
"YDR344C",43,40,21,17,12,23
"YDR320C",1466,1769,1321,945,953,1053
"YDR221W",1653,1994,1878,1032,1223,1184
"tI(AAU)D",3,3,4,0,4,0
"YDL032W",6,7,5,2,11,10
"YDR456W",1014,1243,866,619,609,793
"YDL036C",271,447,315,198,262,246
"tL(CAA)D",0,4,3,5,3,2
"YDL217C",470,657,478,312,365,307
"snR63",6,22,13,6,7,3
"YDR334W",3380,4228,2618,2264,2121,2047
"YDL049C",568,937,535,308,436,401
"YDL164C",883,930,840,669,620,566
"YDR384C",307,618,444,306,311,298
"YDR149C",5,10,4,6,7,7
"YDR093W",1057,1550,1000,820,790,981
"YDR071C",2264,3184,2176,1221,1710,1172
"YDL143W",1224,1793,1214,911,977,1009
"YDR032C",4560,5822,3346,2494,2939,3030
"tR(UCU)D",0,1,0,0,0,0
"YDR063W",458,693,456,263,283,351
"YDL166C",266,388,316,168,262,199
"YDR004W",801,1168,950,551,670,585
"YDR151C",1740,2191,2386,992,1448,1207
"YDR037W",3060,3899,2962,1769,2102,2257
"YDL175C",156,208,170,110,148,94
"YDR286C",68,91,62,28,47,28
"YDR172W",2778,3831,2997,1944,2124,2224
"YDL174C",6829,8918,6917,4522,4627,5783
"YDR080W",2221,2610,2232,1318,1462,1426
"YDR503C",250,349,216,174,195,173
"YDR069C",3102,4067,2921,1985,2080,2160
"YDR047W",390,605,344,229,215,319
"YDR215C",95,141,120,63,72,58
"YDR267C",513,782,614,352,429,388
"YDR142C",1243,1804,1197,847,883,955
"YDL212W",927,1685,896,534,736,490
"YDR249C",232,248,177,188,165,133
"YDL209C",785,948,835,504,578,386
"YDR044W",125,270,170,104,160,140
"tK(UUU)D",6,2,4,1,1,0
"YDR311W",1666,2279,1828,1005,1463,1000
"YDL159C-B",0,0,0,0,0,0
"YDR222W",737,1127,1254,465,770,490
"YDR510C-A",3,10,2,1,5,13
"YDR401W",0,0,0,0,0,0
"YDR207C",1625,2326,1819,1208,1392,1460
"YDL005C",2877,3836,2750,1952,2042,1738
"YDR295C",1082,1196,862,674,691,707
"YDR543C",4,0,0,0,2,0
"YDL208W",448,619,506,294,355,298
"YDR135C",4357,5869,3439,3055,2736,3366
"YDL114W",74,73,91,42,55,26
"YDR247W",12964,12112,6473,6754,5350,9099
"YDL197C",2481,3223,2197,1693,1470,2029
"YDR229W",2248,2913,2255,1282,1622,1469
"YDR095C",4,3,2,4,1,5
"YDR027C",1808,2171,1763,1162,1146,1260
"YDL106C",1499,2038,1743,992,1114,969
"YDR404C",483,633,476,356,351,310
"YDR256C",2951,4826,3766,2311,2396,2068
"YDR518W",133,215,131,97,120,121
"YDR055W",3729,6197,4468,3587,4221,3247
"YDL087C",696,813,654,461,488,466
"YDR177W",1181,1411,886,560,796,729
"YDL014W",1029,1727,1446,968,1104,811
"YDR289C",920,1398,946,622,757,572
"YDL159W",778,1000,876,472,550,488
"YDR532C",869,998,986,447,662,387
"YDR137W",969,1370,927,626,754,679
"YDL153C",1205,1935,1377,953,1061,927
"YDR393W",960,1218,835,537,543,566
"YDR506C",990,1182,797,540,575,609
"YDL219W",241,302,179,159,180,137
"YDL090C",368,470,345,213,256,243
"YDR033W",1820,2599,2262,1109,1388,1554
"YDR035W",2905,4091,3120,1857,2265,2259
"YDR332W",809,1111,850,485,601,519
"YDR510W",1653,2775,2361,1219,1563,1292
"YDL055C",284,630,463,329,454,347
"YDR480W",804,779,977,490,545,510
"YDL103C",369,476,414,272,258,285
"YDL085C-A",407,965,596,326,502,227
"YDR350C",1706,1998,1397,1032,1104,1046
"YDR342C",250,336,228,118,152,251
"YDR087C",475,789,446,339,421,278
"YDL236W",611,661,686,334,445,314
"YDR012W",1292,2031,1200,1122,1073,1195
"YDL121C",973,1947,1319,679,893,584
"YDR525W-A",325,380,273,194,205,189
"tG(GCC)D2",4,4,8,2,4,2
"YDL190C",2698,2926,2144,1646,1546,1723
"YDL047W",3270,3549,3021,1835,2179,2254
"YDR099W",7149,9704,6688,4475,5084,5560
"YDR092W",1059,1407,1121,730,752,822
"YDR164C",1102,1321,1042,670,669,720
"YDR058C",826,1028,820,442,579,370
"YDL020C",11213,14402,10218,6975,8080,7324
"YDL025C",3448,4184,2831,2028,1985,2782
"YDR374C",91,132,137,60,79,36
