454
YNCE0018W	YNCE0018W	MissingGeneType
YER102W	RPS8B	MissingGeneType
YER131W	RPS26B	MissingGeneType
YNCE0019W	SNR4	MissingGeneType
YNCE0020C	SNR52	MissingGeneType
YNCE0021C	YNCE0021C	MissingGeneType
YNCE0022C	YNCE0022C	MissingGeneType
YNCE0023W	YNCE0023W	MissingGeneType
YNCE0024W	SCR1	MissingGeneType
YNCE0025C	YNCE0025C	MissingGeneType
YNCE0026W	YNCE0026W	MissingGeneType
YNCE0027C	YNCE0027C	MissingGeneType
YNCE0028C	YNCE0028C	MissingGeneType
YNCE0029C	YNCE0029C	MissingGeneType
YNCF0001C	RUF21	MissingGeneType
YNCF0002W	SUF9	MissingGeneType
YNCF0003C	RUF20	MissingGeneType
YNCF0004C	YNCF0004C	MissingGeneType
YNCF0005C	YNCF0005C	MissingGeneType
YNCF0006W	SUF20	MissingGeneType
YNCF0007W	SUP11	MissingGeneType
YNCF0008C	YNCF0008C	MissingGeneType
YNCF0009C	YNCF0009C	MissingGeneType
YNCF0010C	RUF22	MissingGeneType
YNCF0011C	YNCF0011C	MissingGeneType
YNCF0012C	SUP6	MissingGeneType
YNCF0013W	RUF23	MissingGeneType
YFR032C-A	RPL29	MissingGeneType
YNCF0014C	YNCF0014C	MissingGeneType
YNCG0047C	SUT532	MissingGeneType
YNCG0001C	RME3	MissingGeneType
YNCG0002C	YNCG0002C	MissingGeneType
YNCG0003C	YNCG0003C	MissingGeneType
YNCG0004W	YNCG0004W	MissingGeneType
YNCG0005W	YNCG0005W	MissingGeneType
YNCG0006C	RME2	MissingGeneType
YGL189C	RPS26A	MissingGeneType
YGL187C	COX4	MissingGeneType
YNCG0007C	YNCG0007C	MissingGeneType
YNCG0008W	YNCG0008W	MissingGeneType
YNCG0009C	YNCG0009C	MissingGeneType
YNCG0010W	SNR82	MissingGeneType
YNCG0011W	YNCG0011W	MissingGeneType
YNCG0012W	SOE1	MissingGeneType
YNCG0013W	SNR10	MissingGeneType
YNCG0014C	SNR39	MissingGeneType
YNCG0015C	SNR39B	MissingGeneType
YNCG0016C	YNCG0016C	MissingGeneType
YNCG0017W	YNCG0017W	MissingGeneType
YNCG0018C	YNCG0018C	MissingGeneType
YNCG0019W	SUP54	MissingGeneType
YGL031C	RPL24A	MissingGeneType
YNCG0020C	YNCG0020C	MissingGeneType
YNCG0021W	YNCG0021W	MissingGeneType
YGR027C	RPS25A	MissingGeneType
YNCG0022W	YNCG0022W	MissingGeneType
YNCG0023C	YNCG0023C	MissingGeneType
YNCG0024W	SNR46	MissingGeneType
YNCG0025C	YNCG0025C	MissingGeneType
YNCG0026W	SNR48	MissingGeneType
YNCG0048W	SUT125	MissingGeneType
YNCG0049W	SUT126	MissingGeneType
YNCG0027W	YNCG0027W	MissingGeneType
YNCG0028W	YNCG0028W	MissingGeneType
YNCG0029C	YNCG0029C	MissingGeneType
YNCG0030C	YNCG0030C	MissingGeneType
YNCG0031W	YNCG0031W	MissingGeneType
YNCG0032W	YNCG0032W	MissingGeneType
YNCG0033W	YNCG0033W	MissingGeneType
YNCG0034W	YNCG0034W	MissingGeneType
YNCG0035W	SUF4	MissingGeneType
YGR148C	RPL24B	MissingGeneType
YNCG0036W	YNCG0036W	MissingGeneType
YNCG0037W	YNCG0037W	MissingGeneType
YNCG0038C	YNCG0038C	MissingGeneType
YNCG0039W	YNCG0039W	MissingGeneType
YNCG0040C	YNCG0040C	MissingGeneType
YNCG0041W	YNCG0041W	MissingGeneType
YNCG0042C	YNCG0042C	MissingGeneType
YNCG0043C	YNCG0043C	MissingGeneType
YNCG0044C	SNR7-L	MissingGeneType
YNCG0045C	SNR7-S	MissingGeneType
YNCG0046W	YNCG0046W	MissingGeneType
YNCH0001W	YNCH0001W	MissingGeneType
YNCH0002C	YNCH0002C	MissingGeneType
YNCH0003C	YNCH0003C	MissingGeneType
YNCH0004C	YNCH0004C	MissingGeneType
YNCH0005W	YNCH0005W	MissingGeneType
YNCH0006C	YNCH0006C	MissingGeneType
YNCH0007W	RUF5-1	MissingGeneType
YNCH0008W	RUF5-2	MissingGeneType
YNCH0009C	YNCH0009C	MissingGeneType
YNCH0010C	YNCH0010C	MissingGeneType
YNCH0011W	SUT169	MissingGeneType
YNCH0012W	SNR32	MissingGeneType
YNCH0013C	SUF8	MissingGeneType
YNCH0014W	SNR71	MissingGeneType
YNCH0015W	YNCH0015W	MissingGeneType
YNCH0016C	YNCH0016C	MissingGeneType
YNCJ0001C	YNCJ0001C	MissingGeneType
YNCJ0002C	YNCJ0002C	MissingGeneType
YNCJ0003C	SNR128	MissingGeneType
YNCJ0004C	SNR190	MissingGeneType
YJL130C	URA2	MissingGeneType
YNCJ0005C	YNCJ0005C	MissingGeneType
YNCJ0006W	YNCJ0006W	MissingGeneType
YNCJ0007C	SNR37	MissingGeneType
YNCJ0008W	YNCJ0008W	MissingGeneType
YNCJ0009C	SNR60	MissingGeneType
YNCJ0010W	SUP7	MissingGeneType
YNCJ0011W	YNCJ0011W	MissingGeneType
